date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:40	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:48:48%20GMT	http://wealthmax.co.uk/bootstrap-icons.154365acf3010d96.woff2?e34853135f9e39acf64315236852cd5a	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/bootstrap-icons.154365acf3010d9604d5.woff2	(from https://wealthmax.co.uk/)
19:18:40	747928/747928	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2007%20Mar%202026%2012:47:30%20GMT	https://wealthmax.co.uk/main.e1772c9ed3927006.js	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/main.e1772c9ed3927006.js	(from https://wealthmax.co.uk/index.html)
19:18:43	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:48:50%20GMT	http://wealthmax.co.uk/bootstrap-icons.ac1a99b3d05d8232.woff?e34853135f9e39acf64315236852cd5a	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/bootstrap-icons.ac1a99b3d05d823204d5.woff	(from https://wealthmax.co.uk/)
19:18:43	134044/134044	---M--	200	added ('OK')	font/woff2	date:Sat,%2007%20Mar%202026%2012:47:29%20GMT	https://wealthmax.co.uk/bootstrap-icons.154365acf3010d96.woff2?e34853135f9e39acf64315236852cd5a	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/bootstrap-icons.154365acf3010d9604d5.woff2	(from https://wealthmax.co.uk/)
19:18:45	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:48:52%20GMT	http://wealthmax.co.uk/Mobile	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/Mobile	(from https://wealthmax.co.uk/)
19:18:45	180288/180288	---M--	200	added ('OK')	font/woff	date:Sat,%2007%20Mar%202026%2012:47:30%20GMT	https://wealthmax.co.uk/bootstrap-icons.ac1a99b3d05d8232.woff?e34853135f9e39acf64315236852cd5a	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/bootstrap-icons.ac1a99b3d05d823204d5.woff	(from https://wealthmax.co.uk/)
19:18:47	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:48:54%20GMT	http://wealthmax.co.uk/homepage/callback.png	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/callback.png	(from https://wealthmax.co.uk/)
19:18:47	87530/87530	---MCZ	200	added ('OK')	text/html	etag:W/%22155ea-moFWBRu6faiUeKjkppdUpADVX88%22	https://wealthmax.co.uk/Mobile	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/Mobile.html	(from https://wealthmax.co.uk/)
19:18:48	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:48:56%20GMT	http://wealthmax.co.uk/willsplanning/wealthmaxlogo.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/willsplanning/wealthmaxlogo.svg	(from https://wealthmax.co.uk/)
19:18:49	292992/292992	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Mar%202026%2012:47:38%20GMT	https://wealthmax.co.uk/homepage/callback.png	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/callback.png	(from https://wealthmax.co.uk/)
19:18:51	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:48:57%20GMT	http://wealthmax.co.uk/protection	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/protection	(from https://wealthmax.co.uk/)
